ref_ID,DAM_ID
c1680cee8c0e8529de4098a40e5c8480,786328
55dcc8798701932c436d2a975125e0f7,786329
55dcc8798701932c436d2a975125e0f7,786330
a97fb10853c5222e3ebf5414890325e5,786332
a97fb10853c5222e3ebf5414890325e5,786331
ea2f60b40fbc20ddbdf828fc182b1569,786334
ea2f60b40fbc20ddbdf828fc182b1569,786333
36204201c131573b2bc1760e3ec891f8,786336
36204201c131573b2bc1760e3ec891f8,786335
ac381134388a254f9977add062a4eb1d,786337
ac381134388a254f9977add062a4eb1d,786338
1b2335c54d0e6ed6f954b3084dfbdfde,786340
1b2335c54d0e6ed6f954b3084dfbdfde,786339
479afae55acf646215bf935919fca44b,786342
479afae55acf646215bf935919fca44b,786341
6830f77b8d050614abf026de0c6dda30,786343
fd97df65e1b9cb1ac3a3486deb9cabf2,786344
fd97df65e1b9cb1ac3a3486deb9cabf2,786345
42a35fa8e0065fa305e06d07f5804734,786346
9a57db9d0e8cd82881fbbb12531f1138,786286
9a57db9d0e8cd82881fbbb12531f1138,786287
0f18a86d55ae0657628d8816c68b9794,786288
74fdd80e011f06351e5710ff41d8be7d,786289
74fdd80e011f06351e5710ff41d8be7d,786290
33e34ffe25bb3449e9fde8e9377eac0d,786292
33e34ffe25bb3449e9fde8e9377eac0d,786291
f9b4baeecaadd2faa7ca09b1fae2e5d2,786295
f9b4baeecaadd2faa7ca09b1fae2e5d2,786294
f9b4baeecaadd2faa7ca09b1fae2e5d2,786293
20bdc2026fe20207feaecb898383b751,786297
20bdc2026fe20207feaecb898383b751,786296
7a7ec61133c8ea79d025509658d0bb9c,786299
7a7ec61133c8ea79d025509658d0bb9c,786298
5b07b8ec99bba5d303c5bcc3804abc05,786300
749182e41a1b4522b79d976df0ea5a77,786301
f0b38f2ac4fae64d708ec7b8b77c3aa2,786302
f0b38f2ac4fae64d708ec7b8b77c3aa2,786303
